,Rank,School,Number of Commits,Average Recruit Ranking,Total Recruit Points
0,1,Texas,24 Commits,93.90,312.07
1,2,Oklahoma,30 Commits,90.85,283.58
2,3,Texas A&amp;M,24 Commits,87.72,240.98
3,4,Missouri,25 Commits,87.77,229.00
4,5,Oklahoma State,27 Commits,86.28,213.10
5,6,West Virginia,19 Commits,86.46,211.69
6,7,Texas Tech,31 Commits,84.69,207.32
7,8,Baylor,27 Commits,85.00,206.15
8,9,TCU,18 Commits,86.26,192.08
9,10,Kansas,21 Commits,82.63,177.90
10,11,Iowa State,31 Commits,81.94,175.20
11,12,Kansas State,20 Commits,81.63,164.45
