Year,Year,Coach,Overall,Conference,Standing,Bowl/playoffs,Coaches#,AP°,Wins,Losses
2009,2009,Briles,4–8,1–7,6th  South ,,,,4,8
2010,2010,Briles,7–6,4–4,4th  South ,L Texas,,,7,6
2011,2011,Briles,10–3,6–3,T-3rd,W Alamo,12,13,10,3
2012,2012,Briles,8–5,4–5,T-5th,W Holiday,,,8,5
2013,2013,Briles,11–2,8–1,1st,L Fiesta,13,13,11,2
2014,2014,Briles,11–2,8–1,T-1st,L Cotton,8,7,11,2
2015,2015,Briles,10–3,6–3,4th,W Russell Athletic,13,13,10,3
2016,2016,Grobe,7–6,3–6,6th,W Cactus,,,7,6
2017,2017,Rhule,1–11,1–8,9th,,,,1,11
2018,2018,Rhule,7–6,4–5,6th,W Texas,,,7,6
2019,2019,Rhule,11–3,8–1,T-1st,L Sugar,12,13,11,3
