,Year,Coach,Overall,Conference,Standing,Bowl/playoffs,Coaches#,AP°,Wins,Losses
2009,2009,Gundy,9–4,6–2,,L Cotton,25,—,9,4
2010,2010,Gundy,11–2,6–2,,W Alamo,10,13,11,2
2011,2011,Gundy,12–1,8–1,,W Fiesta,3,3,12,1
2012,2012,Gundy,8–5,5–4,,W Heart of Dallas,—,—,8,5
2013,2013,Gundy,10–3,7–2,,L Cotton,17,17,10,3
2014,2014,Gundy,7–6,4–5,,W Cactus,—,—,7,6
2015,2015,Gundy,10–3,7–2,,L Sugar,19,20,10,3
2016,2016,Gundy,10–3,7–2,,W Alamo,11,11,10,3
2017,2017,Gundy,10–3,6-3,3rd,W Camping World,14,14,10,3
2018,2018,Gundy,7–6,3-6,T-7th,W Liberty,,,7,6
2019,,,,,,,,,0,0
