Year,Year,Coach,Overall,Conference,Standing,Bowl/playoffs,Coaches#,AP°,Wins,Losses
2009,2009,Gary Patterson,12–1,8–0,1st,L Fiesta†,6,6,12,1
2010,2010,Gary Patterson,13–0,8–0,1st,W Rose†,2,2,13,0
2011,2011,Gary Patterson,11–2,7–0,1st,W Poinsettia,14,13,11,2
2012,2012,Gary Patterson,7–6,4–5,T-5th,L Buffalo Wild Wings,,,7,6
2013,2013,Gary Patterson,4–8,2–7,T-7th,,,,4,8
2014,2014,Gary Patterson,12–1,8–1,T-1st,W Peach†,3,3,12,1
2015,2015,Gary Patterson,11–2,7–2,T-2nd,W Alamo,7,7,11,2
2016,2016,Gary Patterson,6–7,4–5,5th,L Liberty,,,6,7
2017,2017,Gary Patterson,11–3,7–2,2nd,W Alamo,9,9,11,3
2018,2018,Gary Patterson,7–6,4–5,T-5th,W Cheez-It,,,7,6
2019,2019,Gary Patterson,5–7,3–6,T-7th,,,,5,7
