Year,Year,Coach,Overall,Conference,Standing,Bowl/playoffs,Coaches#,AP°,Wins,Losses
2009,2009,Mack Brown,13–1,8–0,1st (South),L BCS National Championship Game†,2,2,13,1
2010,2010,Mack Brown,5–7,2–6,6th (South),,,,5,7
2011,2011,Mack Brown,8–5,4–5,T-6th,W Holiday,RV,RV,8,5
2012,2012,Mack Brown,9–4,5–4,T-3rd,W Alamo,18,19,9,4
2013,2013,Mack Brown,8–5,7–2,T-2nd,L Alamo,RV,,8,5
2014,2014,Charlie Strong,6–7,5-4,T-6th,L Texas,,,6,7
2015,2015,Charlie Strong,5–7,4–5,T-5th,,,,5,7
2016,2016,Charlie Strong,5–7,3-6,T-6th,,,,5,7
2017,2017,Tom Herman,7–6,5-4,T-4th,W Texas,,,7,6
2018,2018,Tom Herman,10-4,7-2,2nd,W Sugar†,9,9,10,4
2019,2019,Tom Herman,8-5,5-4,T-3rd,W Alamo,RV,25,8,5
